"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
225160.0,0.0011232,-0.0014629,0.0023823,87.287,41.063,7.6831
402200.0,0.011175,0.0048721,0.000005317,16.742,64.974,5.5637
66366.0,1.0314,-1.0445,0.034961,96.587,49.624,33.178
381590.0,0.58517,-0.4872,0.012559,17.945,21.94,18.677
125600.0,0.00061838,-0.00023406,-0.000013868,49.204,11.275,33.738
163000.0,1.5377,-0.99683,0.18505,65.72,61.615,34.402
225140.0,0.0003221,0.000062127,0.00000061452,112.19,45.332,1.2607
405740.0,3.4166,0.22271,-0.15148,15.447,42.122,16.528
184770.0,0.00015347,-0.00012826,0.000031568,21.603,16.774,33.383
225840.0,0.00092022,0.0014839,0.0010949,72.956,30.994,16.326
81748.0,1.6946,0.36081,0.080112,89.118,57.427,29.278
373360.0,0.47468,0.03176,-0.014255,30.673,12.816,1.1582
225850.0,0.00027354,0.00038949,0.00039348,75.438,23.047,14.346
160690.0,1.7503,-0.41839,-0.013171,63.535,52.454,25.872
225130.0,-0.00025132,0.00018863,0.0012083,90.409,72.353,7.9208
225140.0,0.00010461,-0.000025334,0.00015538,84.647,27.606,15.387
352360.0,0.14066,1.6796,-0.021432,44.726,34.788,5.9142
225130.0,0.000023139,0.00019114,0.0000017573,109.75,72.376,1.3304
402200.0,0.036724,-0.0040161,-0.0015932,18.053,57.85,5.2571
225140.0,0.0002564,0.00016172,0.000091553,103.46,26.051,11.881
184770.0,0.00014421,-0.000051528,0.000045381,26.697,14.492,25.392
402140.0,0.2778,-0.08573,-0.00025543,17.0,51.024,16.043
385240.0,0.9702,-0.68636,0.00011726,18.011,27.89,7.5171
225850.0,0.00020246,0.00012482,0.00013681,75.553,16.674,12.449
225140.0,0.000014879,0.00023321,0.00010769,110.78,63.196,2.6221
380260.0,0.24451,-0.21309,-0.010513,15.425,15.229,4.222
225850.0,0.000068305,-0.000012607,0.000041977,80.595,12.847,4.1318
125600.0,0.0016396,-0.0014228,-0.000028846,53.048,18.11,27.137
225150.0,0.00032505,-0.00020741,0.0020142,85.922,39.865,11.1
68762.0,0.49331,-0.18253,-0.0011774,104.29,65.561,36.033
240690.0,1.5389,0.75578,0.10148,54.422,54.569,2.6714
225200.0,0.010912,0.010901,0.0020644,86.7,58.514,0.95343
225140.0,-0.000097073,0.00089851,0.00052944,94.804,41.793,17.102
202160.0,0.94415,0.14729,1.8393,54.589,73.188,20.482
368120.0,0.5015,0.44611,0.015199,37.182,22.389,2.9459
73588.0,0.77981,0.016151,-0.045672,95.88,62.948,26.032
225140.0,0.0002725,-0.00010309,0.00010685,100.15,24.633,7.2317
125530.0,0.0060489,0.0021198,0.0000080945,71.787,22.451,38.805
225150.0,0.00040648,-0.00059573,0.00024089,91.146,30.699,2.858
