"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
-1246.8,0.0014549,-0.0025855,0.0017165,87.287,41.063,7.6831
-2080.8,0.0098944,0.004887,0.000057434,16.742,64.974,5.5637
-1996.4,0.54872,-0.44071,0.028271,17.945,21.94,18.677
-274.78,0.0005715,-0.00017156,0.000011088,49.204,11.275,33.738
-491.8,1.2115,-0.86034,0.23751,65.72,61.615,34.402
-1260.3,0.00058038,-0.00044069,0.000025682,112.19,45.332,1.2607
-2109.1,3.2707,0.08036,-0.095108,15.447,42.122,16.528
-658.35,0.00026682,-0.000048966,0.000025611,21.603,16.774,33.383
-1116.4,0.0010023,0.0015975,0.0008829,72.956,30.994,16.326
-32.163,1.5718,0.27409,0.034721,89.118,57.427,29.278
-664.27,-0.000013942,-0.000082397,0.0001168,16.235,43.294,37.056
-1937.0,0.44018,0.024435,-0.005175,30.673,12.816,1.1582
-1115.9,0.00023748,0.0004666,0.00027019,75.438,23.047,14.346
-513.6,1.6813,-0.40082,-0.0096374,63.535,52.454,25.872
-1224.8,0.00001608,0.00030547,0.00096736,90.409,72.353,7.9208
-1825.7,0.13705,1.5871,-0.030435,44.726,34.788,5.9142
-1239.9,0.00020261,0.00012359,0.000050038,109.75,72.376,1.3304
-2081.2,0.03355,-0.0018248,-0.0030837,18.053,57.85,5.2571
-659.01,0.00033434,-0.000005839,0.000043179,26.697,14.492,25.392
-2083.1,0.23975,-0.080336,0.00059109,17.0,51.024,16.043
-1997.6,0.86745,-0.62972,-0.038038,18.011,27.89,7.5171
-1116.0,0.00011257,0.0001271,0.0001409,75.553,16.674,12.449
-1242.3,0.00012748,-0.000080845,0.00014848,110.78,63.196,2.6221
-1977.4,0.2271,-0.20682,-0.0098032,15.425,15.229,4.222
-1116.5,-0.000010001,0.000056039,0.00002504,80.595,12.847,4.1318
-275.62,0.001396,-0.0011888,-0.00011407,53.048,18.11,27.137
49.981,0.48896,-0.17293,0.0022815,104.29,65.561,36.033
-1149.3,1.3227,0.67733,0.1204,54.422,54.569,2.6714
-1209.3,0.0091541,0.0098472,0.0015069,86.7,58.514,0.95343
-1252.0,0.00035609,0.00011404,0.00021802,94.804,41.793,17.102
-854.54,0.75954,0.15832,1.6849,54.589,73.188,20.482
-1914.0,0.46212,0.39865,0.018892,37.182,22.389,2.9459
31.54,0.6584,-0.000038075,-0.032805,95.88,62.948,26.032
-276.78,0.0058552,0.0022549,0.000095974,71.787,22.451,38.805
-657.23,0.000027418,-0.000022389,0.000064922,11.203,19.721,22.867
250.02,1.0463,-1.5788,0.60719,90.662,30.475,35.353
-37.493,1.1014,0.6075,0.014131,88.505,60.627,30.488
-1048.5,0.35918,0.55612,1.1614,64.481,63.848,9.9882
-1237.9,0.00020938,0.00012952,0.00022253,104.64,63.359,7.7606
-715.41,0.00032735,-0.00095405,0.0013854,17.856,50.432,25.176
-2080.4,0.0317,-0.029899,-0.00025613,20.438,55.863,1.1273
-1108.4,0.33107,0.18801,0.15283,69.816,50.72,12.985
-1115.5,0.00041504,0.00023953,0.00041812,71.041,24.389,10.922
-2161.8,3.8326,0.30158,-0.058537,14.279,41.9,15.669
-659.14,0.00019453,0.00010004,-0.00004509,17.05,22.597,21.429
-658.04,0.00026765,0.00012709,0.000058264,21.111,12.875,33.259
-1227.9,0.00034157,0.00017981,0.00099831,94.589,68.407,7.4492
-1116.6,0.2708,0.19208,0.2554,48.529,65.149,2.2906
-1239.6,0.0036372,-0.0017184,0.00046845,94.264,46.434,1.0178
-2059.6,2.6828,-0.15253,-0.086093,18.925,44.499,17.615
43.931,0.48837,-0.17751,0.032149,102.69,65.195,37.333
