"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
-32.225,0.0011078,-0.0015369,0.0020651,87.287,41.063,7.6831
-169.91,0.010147,0.0047647,0.000094262,16.742,64.974,5.5637
-161.6,0.54644,-0.43483,0.029439,17.945,21.94,18.677
95.349,0.0005497,-0.00021357,0.0000028689,49.204,11.275,33.738
75.786,1.2075,-0.86476,0.23274,65.72,61.615,34.402
-31.69,0.000083087,0.00015363,0.000027994,112.19,45.332,1.2607
-174.11,3.2674,0.072786,-0.10859,15.447,42.122,16.528
33.768,0.00016669,-0.000072229,0.000021939,21.603,16.774,33.383
-32.786,0.00099798,0.0015813,0.00093282,72.956,30.994,16.326
120.36,1.5648,0.27707,0.032393,89.118,57.427,29.278
-147.01,0.43495,0.023778,-0.0031712,30.673,12.816,1.1582
-32.786,0.00019268,0.00042056,0.00029927,75.438,23.047,14.346
64.546,1.676,-0.40435,-0.014913,63.535,52.454,25.872
-33.881,-0.00015508,0.00020616,0.0010465,90.409,72.353,7.9208
-29.937,-0.00009017,-0.000067082,0.00017641,84.647,27.606,15.387
-115.93,0.13151,1.5713,-0.027131,44.726,34.788,5.9142
-33.234,-0.000045455,0.000058628,0.000018126,109.75,72.376,1.3304
-170.1,0.033479,-0.0020824,-0.0028739,18.053,57.85,5.2571
-29.618,0.000085933,0.000011982,0.000025259,103.46,26.051,11.881
33.787,0.00018182,-0.000047987,0.000029811,26.697,14.492,25.392
-170.49,0.24094,-0.083653,0.002714,17.0,51.024,16.043
-163.57,0.86282,-0.62785,-0.033872,18.011,27.89,7.5171
-32.773,0.000079105,0.000099376,0.00014459,75.553,16.674,12.449
-33.085,0.000017984,0.00019852,0.000061905,110.78,63.196,2.6221
-157.2,0.22452,-0.20212,-0.0092454,15.425,15.229,4.222
-32.74,0.0000064778,-0.00001143,0.00006811,80.595,12.847,4.1318
-32.178,0.00011182,-0.00019385,0.0018703,85.922,39.865,11.1
-30.915,0.000033861,0.000067965,0.000023596,117.37,38.409,4.9911
142.45,0.4807,-0.17173,0.00056075,104.29,65.561,36.033
-45.62,1.3187,0.66594,0.12157,54.422,54.569,2.6714
-33.447,0.0093027,0.0094882,0.0015936,86.7,58.514,0.95343
-32.242,-0.00020829,0.00085158,0.00039989,94.804,41.793,17.102
13.958,0.75368,0.1537,1.6847,54.589,73.188,20.482
-139.58,0.45701,0.39991,0.018537,37.182,22.389,2.9459
134.76,0.65862,0.00051062,-0.034414,95.88,62.948,26.032
-29.503,0.000022388,0.000001785,0.00010206,100.15,24.633,7.2317
95.533,0.0057207,0.0020726,0.000064008,71.787,22.451,38.805
203.03,1.0182,-1.5507,0.57671,90.662,30.475,35.353
118.22,1.0845,0.59249,0.0081242,88.505,60.627,30.488
-24.706,0.35574,0.54303,1.1423,64.481,63.848,9.9882
-33.255,-0.000028015,0.00028626,0.0003314,104.64,63.359,7.7606
-28.739,0.000040513,-0.000016248,0.000028908,105.19,16.501,1.2044
27.327,0.00051662,-0.00098111,0.0014052,17.856,50.432,25.176
-29.026,0.000026473,0.000046582,0.0000079333,113.1,20.301,16.959
-169.99,0.031822,-0.029515,-0.00031886,20.438,55.863,1.1273
-33.185,0.32807,0.18699,0.1514,69.816,50.72,12.985
-32.764,0.00022908,0.00016975,0.00041268,71.041,24.389,10.922
-29.469,0.000078083,-0.00010541,0.000093241,87.437,23.399,5.9989
-182.67,3.7845,0.28955,-0.071283,14.279,41.9,15.669
33.746,0.00013822,-0.00002839,0.000011279,21.111,12.875,33.259
-33.747,-0.0000072578,0.00032295,0.00088622,94.589,68.407,7.4492
-35.376,0.26757,0.19143,0.25304,48.529,65.149,2.2906
-32.51,0.0026894,-0.00097169,0.00035746,94.264,46.434,1.0178
-169.22,2.6425,-0.16483,-0.08649,18.925,44.499,17.615
140.24,0.48315,-0.17422,0.029235,102.69,65.195,37.333
-29.284,0.000030171,0.0000082482,0.000007926,100.79,21.75,9.2427
81.807,0.43281,-0.54571,0.14956,77.925,71.433,36.934
122.97,0.42039,0.50462,-0.005815,86.922,65.892,21.185
33.781,0.00012481,0.00039152,0.00011999,43.125,21.735,35.062
33.738,0.00041633,0.0014998,0.000095014,43.025,28.901,38.818
-156.02,0.51877,-0.27735,-0.00040678,19.928,19.693,7.5164
-32.259,0.00001596,0.00071565,0.0017694,89.47,41.657,13.532
-31.491,-0.000030827,0.00034755,0.000045585,102.8,39.064,18.747
