"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
-66.898,0.0011113,-0.0015421,0.0020985,87.287,41.063,7.6831
80.62,0.010184,0.0047457,0.000085444,16.742,64.974,5.5637
73.029,0.54615,-0.43421,0.029731,17.945,21.94,18.677
164.12,0.00054813,-0.00021412,0.0000022249,49.204,11.275,33.738
142.97,1.2067,-0.86585,0.2324,65.72,61.615,34.402
-67.173,0.00017305,0.00012301,0.000023375,112.19,45.332,1.2607
78.546,3.2691,0.071,-0.11102,15.447,42.122,16.528
88.493,0.00017331,-0.000070797,0.000022244,21.603,16.774,33.383
-63.357,0.0010078,0.0015894,0.00093948,72.956,30.994,16.326
153.95,1.5643,0.27835,0.031654,89.118,57.427,29.278
79.504,0.43421,0.023689,-0.0028652,30.673,12.816,1.1582
-63.327,0.00019365,0.0004208,0.00030217,75.438,23.047,14.346
133.3,1.6749,-0.40546,-0.015821,63.535,52.454,25.872
-67.348,-0.00017066,0.00020178,0.0010676,90.409,72.353,7.9208
-67.302,-0.000046845,-0.000082925,0.00019693,84.647,27.606,15.387
84.086,0.13093,1.5704,-0.026558,44.726,34.788,5.9142
-67.138,-0.000032943,0.000070407,0.000024537,109.75,72.376,1.3304
80.403,0.033472,-0.0021102,-0.0028613,18.053,57.85,5.2571
-67.479,0.000089502,-0.0000014278,0.000037779,103.46,26.051,11.881
88.472,0.00019108,-0.000047921,0.000031098,26.697,14.492,25.392
80.608,0.24132,-0.084043,0.0031381,17.0,51.024,16.043
72.859,0.86282,-0.62822,-0.03332,18.011,27.89,7.5171
-63.313,0.00008062,0.00010275,0.0001468,75.553,16.674,12.449
-67.114,0.000012048,0.00018525,0.000071357,110.78,63.196,2.6221
75.3,0.2243,-0.20133,-0.0092569,15.425,15.229,4.222
-63.3,0.0000074127,-0.000011626,0.000068429,80.595,12.847,4.1318
-66.97,0.00015196,-0.00019328,0.0018764,85.922,39.865,11.1
-67.272,0.000023534,0.000066871,0.0000048077,117.37,38.409,4.9911
166.1,0.4792,-0.17174,0.000098165,104.29,65.561,36.033
-36.38,1.3204,0.6646,0.12156,54.422,54.569,2.6714
-66.777,0.0094185,0.0095944,0.001596,86.7,58.514,0.95343
-67.166,-0.00021452,0.00085804,0.00043436,94.804,41.793,17.102
47.208,0.75268,0.15253,1.6834,54.589,73.188,20.482
81.803,0.45658,0.40046,0.018424,37.182,22.389,2.9459
161.63,0.65888,0.00041351,-0.034477,95.88,62.948,26.032
-67.443,0.00005757,-0.000039988,0.000083918,100.15,24.633,7.2317
164.24,0.0057072,0.0020554,0.000057629,71.787,22.451,38.805
201.18,1.0124,-1.5473,0.57139,90.662,30.475,35.353
151.75,1.0816,0.58986,0.0069335,88.505,60.627,30.488
-46.282,0.3603,0.54112,1.1399,64.481,63.848,9.9882
-67.161,-0.000028904,0.00028609,0.0003436,104.64,63.359,7.7606
-67.7,0.000054636,-0.000029964,0.000023087,105.19,16.501,1.2044
77.094,0.0005101,-0.00098115,0.0014033,17.856,50.432,25.176
-67.534,0.000035592,-0.000041571,0.000013243,91.95,15.91,17.269
-67.709,0.000028819,0.000013962,0.000016407,113.1,20.301,16.959
80.409,0.031838,-0.029488,-0.00035427,20.438,55.863,1.1273
-59.22,0.329,0.18739,0.15165,69.816,50.72,12.985
-63.299,0.00023247,0.00016894,0.0004188,71.041,24.389,10.922
-67.331,0.0001084,-0.00015535,0.00008201,87.437,23.399,5.9989
73.0,3.7809,0.28783,-0.072167,14.279,41.9,15.669
88.494,0.00014509,-0.000025969,0.000014372,21.111,12.875,33.259
-67.281,-0.000012274,0.00032097,0.00092028,94.589,68.407,7.4492
-21.54,0.26789,0.19142,0.25223,48.529,65.149,2.2906
-66.87,0.0027311,-0.00096932,0.00036567,94.264,46.434,1.0178
81.666,2.6356,-0.16835,-0.086823,18.925,44.499,17.615
164.54,0.48232,-0.17353,0.028658,102.69,65.195,37.333
-67.464,0.000058956,-0.000075517,0.000018055,100.79,21.75,9.2427
154.43,0.43184,-0.54573,0.1505,77.925,71.433,36.934
154.71,0.41973,0.50394,-0.0059998,86.922,65.892,21.185
88.273,0.00012847,0.0004069,0.0001257,43.125,21.735,35.062
88.095,0.0004323,0.0015376,0.000093308,43.025,28.901,38.818
75.961,0.51798,-0.27665,-0.0002596,19.928,19.693,7.5164
-67.12,0.000019967,0.000734,0.0018217,89.47,41.657,13.532
-67.198,-0.000022856,0.00027303,0.000015629,102.8,39.064,18.747
32.931,0.51354,0.62207,1.3953,49.55,70.99,17.006
88.522,0.00012241,-0.00014018,0.000032583,20.186,19.858,25.84
81.979,0.54479,0.37816,0.00068967,36.297,23.023,5.6925
98.093,2.5654,0.56116,-0.0093397,28.714,41.875,13.256
144.12,2.0772,-0.30634,-0.046802,67.459,50.89,35.41
84.053,0.35399,-0.2005,-0.010078,41.789,51.168,20.982
-67.729,0.000078082,-0.000041788,-0.000017086,106.71,16.536,4.3981
-67.17,0.0032081,0.0043354,0.009829,87.858,57.027,7.3629
88.607,0.00041133,-0.00066896,0.00064276,26.764,38.454,34.21
-66.795,0.014525,0.014911,0.027334,84.401,54.39,7.3927
80.73,0.0061351,0.012254,-0.00029768,12.901,64.209,12.934
196.58,0.12854,-0.13883,0.25518,96.298,15.36,24.738
-63.175,-0.001255,-0.00037712,0.0028332,63.325,44.887,8.4223
71.351,0.59932,-0.36103,0.71092,43.363,67.254,32.927
153.48,0.502,0.52782,0.038628,86.844,64.831,22.617
164.18,0.026315,0.0074171,0.0018128,74.75,34.153,22.844
85.969,0.32948,-0.13739,0.062994,41.005,50.406,37.454
88.472,0.00021385,-0.000062845,0.000020346,24.476,18.903,35.058
39.984,0.41849,0.095338,1.3517,45.027,74.114,21.601
87.974,0.0020314,0.0024241,0.0011094,40.157,34.034,35.794
-37.257,2.6869,1.6171,0.48192,47.814,51.999,9.6286
133.4,1.527,-0.57213,-0.001979,63.376,55.23,32.609
-67.076,0.00046097,0.00040692,0.0001675,103.85,58.866,2.39
198.14,0.68282,1.0637,1.9322,97.324,19.411,35.589
74.286,1.4957,-0.66531,-0.0056114,20.407,32.168,8.0764
-67.174,-0.000081855,0.00058172,0.00041895,86.122,35.96,17.113
88.612,0.00076082,-0.0012689,0.0014745,30.563,39.871,33.019
164.17,0.0024412,0.0018492,0.00012655,74.939,18.101,35.551
-17.553,0.36061,4.1489,1.0051,37.91,55.566,13.518
81.814,0.1672,0.10119,-0.0003325,41.572,13.036,9.5777
195.88,-0.036216,0.013089,0.39574,101.84,11.2,30.089
-41.48,0.90864,0.60568,0.09088,59.796,53.424,14.462
157.84,1.9456,-1.8727,0.14818,87.37,47.916,29.162
88.387,0.000058758,0.0000035084,0.000035476,42.655,11.194,22.861
95.483,0.85448,-0.37203,0.1605,49.818,57.681,35.14
155.96,0.11322,0.57741,-0.013623,83.256,65.888,33.92
124.28,1.1348,-0.17767,0.9289,64.357,74.31,29.825
-67.512,-0.0013424,0.0040725,0.001981,86.609,45.38,17.309
87.518,0.4767,0.90207,0.013318,39.723,29.174,9.4349
-63.299,0.00008324,0.0000066588,0.000071431,73.526,11.122,14.593
-63.223,0.0000067788,-0.00012916,0.00012677,47.417,29.925,10.767
91.478,0.79424,-0.34983,0.066424,47.239,53.12,30.039
163.2,2.6701,-1.8202,0.062324,75.76,55.406,27.064
-67.551,0.000027021,-0.000017655,0.000013309,91.043,12.729,16.44
80.733,0.0045746,0.0010025,0.0000091835,17.973,72.259,7.1195
-67.4,0.000029318,0.00010475,0.000036365,118.2,36.856,1.3109
-67.102,0.00011184,0.00020359,0.00024183,108.55,51.079,8.5173
94.847,1.0903,-0.66005,0.18081,52.738,61.788,30.069
95.081,0.86009,-0.11217,-0.0016214,48.823,48.954,24.86
88.443,0.00021684,-0.000069744,0.000034378,30.594,16.427,22.644
80.515,0.0085292,-0.0053272,-0.00056426,24.082,63.475,10.192
85.778,1.326,0.19654,-0.038473,28.212,31.071,15.825
156.01,0.071184,0.23759,0.005199,83.225,70.731,34.968
164.27,0.0095859,-0.0034932,0.00073151,67.951,30.236,31.39
-22.264,1.0532,5.2145,0.47185,40.975,55.52,18.633
75.38,0.30404,-0.1069,-0.0040208,17.545,13.003,2.9669
80.551,0.0051992,-0.0031505,-0.00050839,27.701,66.664,12.078
-63.232,0.000046153,-0.00011725,0.00016089,53.769,28.504,10.733
80.679,0.0066618,0.0058393,-0.00021547,15.041,66.22,1.1538
-67.171,-0.00006381,0.000050431,0.000037565,116.48,70.983,12.448
76.829,-0.0019977,0.00017712,0.0022901,28.657,71.468,32.069
168.6,0.14207,-0.025247,0.0011487,115.25,74.021,26.897
80.582,0.010355,-0.0016551,-0.0009459,21.105,64.957,2.5591
161.64,1.2747,-1.0141,0.013396,92.756,50.031,29.82
-63.259,0.00024729,-0.000031912,0.00010524,54.537,34.948,17.602
81.266,0.73803,0.18143,0.025391,31.028,22.098,4.8327
25.242,0.22743,1.1247,1.4684,45.431,67.881,18.015
85.502,0.44675,1.2749,0.0010384,41.695,32.064,11.18
81.93,2.7581,-0.11059,-0.02381,20.074,45.189,18.996
-67.536,0.000067654,0.000027989,0.000018425,106.49,24.417,15.127
-63.24,0.00010342,-0.00010428,0.00020546,53.381,32.488,13.62
80.714,0.0051822,0.00027239,0.000038069,19.122,72.622,1.1288
77.242,0.40083,-0.021887,-0.010113,21.113,11.193,5.4061
78.993,1.1216,-0.053992,1.5111,60.148,74.286,23.365
-66.925,0.00078148,-0.0008513,0.00099057,89.501,37.778,6.8184
-64.111,0.026465,0.033753,0.00084179,75.477,45.798,19.069
35.853,-2.409,4.4023,0.14103,42.744,46.363,7.3574
166.15,0.5677,-0.34885,0.025476,102.38,60.43,23.882
164.11,0.0054633,-0.0020665,0.0000059576,65.573,25.003,21.256
-67.228,0.00001236,0.000035743,0.00015276,83.34,28.67,14.905
74.929,0.4998,-0.33602,-0.015537,19.016,20.301,1.1019
88.376,0.00021926,-0.0000031898,0.000091942,35.552,19.579,25.955
-67.201,-0.000089346,0.00033328,0.00010376,102.03,40.567,17.128
77.106,0.0019513,-0.001001,0.0016768,16.587,51.097,31.701
-66.973,0.00088014,-0.0008602,0.00034007,92.035,37.052,2.8903
88.358,0.00020694,0.000059676,0.00013972,37.339,19.453,27.05
82.483,0.13816,1.7553,0.017144,44.585,35.708,1.2428
-42.173,1.0043,0.25998,0.17616,59.765,50.576,14.334
88.515,0.00023511,-0.00013755,0.000035189,21.712,25.677,37.433
80.532,0.0052781,-0.004593,-0.00022887,27.053,64.331,18.78
-66.855,0.0046224,-0.0012811,0.0027037,91.372,47.966,4.3959
-63.269,0.00027931,-0.000024115,0.00019991,53.324,41.824,16.845
-67.42,-0.00092392,0.0019289,0.0084703,88.123,58.792,9.2127
88.373,0.000094548,0.000077392,0.000049122,42.294,14.128,33.09
194.48,-0.15968,0.25979,0.83609,102.19,17.171,32.036
80.178,0.63139,0.098151,-0.0091253,29.4,19.005,6.4673
-67.282,0.00017755,-0.00018292,0.000050511,97.092,28.37,1.1899
88.214,0.00063628,0.00069645,0.00024223,38.76,27.034,35.874
-67.628,0.000056172,0.0000073621,0.000022858,99.783,12.304,12.327
79.506,0.22545,0.023846,-0.0083928,15.836,51.331,3.1042
-67.208,0.000004104,-0.0000016023,0.00014123,84.855,29.548,15.935
-67.139,0.000027294,0.00035777,0.00018052,93.924,35.914,17.142
