"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
-370.91,0.0011707,-0.0016797,0.0019727,87.287,41.063,7.6831
-552.33,0.010102,0.0047828,0.00010133,16.742,64.974,5.5637
-530.36,0.54701,-0.43605,0.029097,17.945,21.94,18.677
42.822,0.0005523,-0.00021297,0.0000048499,49.204,11.275,33.738
-50.534,1.2069,-0.86282,0.23385,65.72,61.615,34.402
-372.74,0.00023834,-0.000014112,0.000014088,112.19,45.332,1.2607
-559.54,3.2665,0.074678,-0.10564,15.447,42.122,16.528
-147.63,0.00017237,-0.000066695,0.00002028,21.603,16.774,33.383
-364.19,0.00099139,0.0015809,0.0009282,72.956,30.994,16.326
99.606,1.5664,0.27615,0.033386,89.118,57.427,29.278
-509.2,0.43624,0.023938,-0.0036368,30.673,12.816,1.1582
-364.16,0.00019494,0.00042437,0.00029647,75.438,23.047,14.346
-51.979,1.6759,-0.40334,-0.013395,63.535,52.454,25.872
-369.51,-0.0001366,0.00020552,0.0010361,90.409,72.353,7.9208
-466.42,0.1326,1.5753,-0.028033,44.726,34.788,5.9142
-370.23,0.0000085469,0.000086769,0.000035078,109.75,72.376,1.3304
-552.65,0.033488,-0.002066,-0.0029096,18.053,57.85,5.2571
-375.4,0.00007091,-0.000068051,0.000070934,103.46,26.051,11.881
-147.62,0.0001885,-0.000049887,0.000023758,26.697,14.492,25.392
-553.32,0.24051,-0.082958,0.002153,17.0,51.024,16.043
-533.78,0.86344,-0.62805,-0.034715,18.011,27.89,7.5171
-364.16,0.000082146,0.00010026,0.0001385,75.553,16.674,12.449
-370.46,0.000022709,0.00012135,0.000080324,110.78,63.196,2.6221
-524.18,0.22499,-0.20323,-0.0092817,15.425,15.229,4.222
-364.15,0.000005832,-0.000011189,0.000066226,80.595,12.847,4.1318
-371.13,0.00013302,-0.00037223,0.0016666,85.922,39.865,11.1
127.37,0.48276,-0.17187,0.0011097,104.29,65.561,36.033
-361.71,1.3195,0.66819,0.12152,54.422,54.569,2.6714
-368.75,0.0092282,0.0094042,0.0016126,86.7,58.514,0.95343
-371.43,-0.0001085,0.00070993,0.00043345,94.804,41.793,17.102
-228.52,0.75553,0.1551,1.6831,54.589,73.188,20.482
-498.55,0.45807,0.39965,0.018626,37.182,22.389,2.9459
118.3,0.65869,0.00054896,-0.034235,95.88,62.948,26.032
-375.44,0.000031344,-0.000086997,0.000062708,100.15,24.633,7.2317
43.092,0.0057402,0.0020923,0.000073117,71.787,22.451,38.805
206.85,1.025,-1.5561,0.58367,90.662,30.475,35.353
96.67,1.0888,0.5961,0.0096758,88.505,60.627,30.488
-342.12,0.35573,0.54604,1.1463,64.481,63.848,9.9882
-370.2,0.000013489,0.00024543,0.00032459,104.64,63.359,7.7606
-159.79,0.00051901,-0.00097441,0.0014041,17.856,50.432,25.176
-376.42,0.000024842,-0.000051557,0.00003323,113.1,20.301,16.959
-552.47,0.031781,-0.029599,-0.00028152,20.438,55.863,1.1273
-360.77,0.32868,0.18715,0.15158,69.816,50.72,12.985
-364.09,0.00023031,0.00017573,0.00040411,71.041,24.389,10.922
-573.96,3.7921,0.29192,-0.069424,14.279,41.9,15.669
-147.52,0.00014961,-0.000016554,0.000012121,21.111,12.875,33.259
-369.61,0.000053955,0.00027091,0.00089477,94.589,68.407,7.4492
-342.43,0.26815,0.19151,0.25346,48.529,65.149,2.2906
-370.67,0.002703,-0.0010863,0.00034466,94.264,46.434,1.0178
-547.88,2.651,-0.16114,-0.086236,18.925,44.499,17.615
124.47,0.48439,-0.17516,0.029926,102.69,65.195,37.333
-34.141,0.43336,-0.54532,0.14844,77.925,71.433,36.934
104.24,0.42145,0.5057,-0.0055619,86.922,65.892,21.185
-148.11,0.00012977,0.00039416,0.00011088,43.125,21.735,35.062
-148.36,0.00041261,0.0014919,0.000091092,43.025,28.901,38.818
-522.41,0.52004,-0.27845,-0.00065031,19.928,19.693,7.5164
-371.68,0.000060884,0.00065635,0.0017374,89.47,41.657,13.532
-372.84,-0.000014911,0.000074514,-0.000057903,102.8,39.064,18.747
-252.43,0.5138,0.62096,1.4016,49.55,70.99,17.006
-147.61,0.00011868,-0.0001348,0.000037537,20.186,19.858,25.84
-498.93,0.54628,0.37987,0.0033328,36.297,23.023,5.6925
-498.85,2.5714,0.56887,-0.0064004,28.714,41.875,13.256
-28.377,2.0861,-0.30253,-0.046142,67.459,50.89,35.41
-150.04,0.35576,-0.2009,-0.0091464,41.789,51.168,20.982
-369.12,0.0032145,0.0043168,0.0096276,87.858,57.027,7.3629
-148.37,0.00039496,-0.00065057,0.00062073,26.764,38.454,34.21
-368.26,0.014352,0.014698,0.026917,84.401,54.39,7.3927
-552.26,0.0060878,0.012317,-0.00026549,12.901,64.209,12.934
208.66,0.12753,-0.1393,0.25609,96.298,15.36,24.738
-363.96,-0.0012424,-0.00038128,0.002814,63.325,44.887,8.4223
-178.06,0.60198,-0.36187,0.71234,43.363,67.254,32.927
102.61,0.50361,0.52928,0.0378,86.844,64.831,22.617
43.325,0.026241,0.0075378,0.00182,74.75,34.153,22.844
-148.52,0.33143,-0.13841,0.063751,41.005,50.406,37.454
-147.73,0.00020721,-0.000059709,0.000018272,24.476,18.903,35.058
-236.86,0.42169,0.098039,1.3537,45.027,74.114,21.601
-148.56,0.0019784,0.0023824,0.0010805,40.157,34.034,35.794
-387.74,2.6915,1.6297,0.47541,47.814,51.999,9.6286
-57.817,1.5292,-0.56977,-0.0035324,63.376,55.23,32.609
-370.41,0.00052652,0.0003077,0.00020149,103.85,58.866,2.39
230.05,0.6759,1.0595,1.948,97.324,19.411,35.589
-534.33,1.4995,-0.67143,-0.0044888,20.407,32.168,8.0764
-373.09,-0.000034783,0.00042289,0.0004911,86.122,35.96,17.113
-148.53,0.00073584,-0.0012059,0.0014247,30.563,39.871,33.019
43.006,0.0024235,0.0018505,0.00013683,74.939,18.101,35.551
-368.81,0.369,4.1535,1.0086,37.91,55.566,13.518
-500.77,0.16748,0.10126,-0.00026577,41.572,13.036,9.5777
209.93,-0.036799,0.013231,0.39815,101.84,11.2,30.089
-353.49,0.90832,0.60388,0.090537,59.796,53.424,14.462
99.954,1.9549,-1.8732,0.15171,87.37,47.916,29.162
-147.79,0.00005718,0.0000061605,0.000035888,42.655,11.194,22.861
-132.63,0.85937,-0.37438,0.16162,49.818,57.681,35.14
104.45,0.11337,0.5786,-0.014734,83.256,65.888,33.92
-119.52,1.1443,-0.18254,0.92781,64.357,74.31,29.825
-371.11,-0.0013476,0.0039028,0.0019674,86.609,45.38,17.309
-481.27,0.47783,0.9049,0.011829,39.723,29.174,9.4349
-364.07,0.000082264,0.0000033146,0.000069359,73.526,11.122,14.593
-363.71,0.0000081666,-0.00012544,0.00012586,47.417,29.925,10.767
-136.48,0.79799,-0.35142,0.06663,47.239,53.12,30.039
34.072,2.6738,-1.831,0.057031,75.76,55.406,27.064
-376.25,0.00003606,-0.000029008,0.000012644,91.043,12.729,16.44
-552.12,0.0045333,0.001012,0.0000047494,17.973,72.259,7.1195
-374.46,0.00003816,0.00002942,0.000040095,118.2,36.856,1.3109
-371.45,0.00019946,0.00011055,0.00027016,108.55,51.079,8.5173
-134.15,1.0987,-0.66138,0.18027,52.738,61.788,30.069
-129.05,0.86409,-0.11131,-0.0021375,48.823,48.954,24.86
-147.74,0.00021033,-0.000065739,0.000033899,30.594,16.427,22.644
-552.58,0.0084849,-0.0053177,-0.00055272,24.082,63.475,10.192
