"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
237.77,-0.037422,0.013507,0.40041,101.84,11.2,30.089
-353.27,0.90831,0.60295,0.090541,59.796,53.424,14.462
74.922,1.9637,-1.8724,0.1537,87.37,47.916,29.162
-227.5,0.00004862,-0.000011555,0.00004038,42.655,11.194,22.861
-210.56,0.86434,-0.37727,0.16242,49.818,57.681,35.14
75.485,0.11354,0.57979,-0.015596,83.256,65.888,33.92
-188.53,1.1504,-0.18601,0.93285,64.357,74.31,29.825
-302.52,-0.0010059,0.0038057,0.0017803,86.609,45.38,17.309
-669.66,0.47921,0.90775,0.010324,39.723,29.174,9.4349
-326.01,0.000063647,-0.00001148,0.000065562,73.526,11.122,14.593
-213.25,0.80222,-0.35303,0.066624,47.239,53.12,30.039
-75.539,2.6796,-1.8387,0.049969,75.76,55.406,27.064
-780.97,0.0044959,0.0010212,-0.00000914,17.973,72.259,7.1195
-287.92,0.00001237,0.00028216,0.000022845,118.2,36.856,1.3109
-296.64,-0.000068075,0.00023795,0.00011284,108.55,51.079,8.5173
-282.99,0.000015449,0.00033248,0.000087749,83.694,23.539,17.262
-211.19,1.1063,-0.66432,0.17951,52.738,61.788,30.069
-207.13,0.86816,-0.11085,-0.0024527,48.823,48.954,24.86
-228.25,0.00020244,-0.000086453,0.000040397,30.594,16.427,22.644
-781.78,0.0084515,-0.0053094,-0.0005534,24.082,63.475,10.192
-704.14,1.3371,0.19509,-0.03862,28.212,31.071,15.825
77.183,0.070873,0.23913,0.0047014,83.225,70.731,34.968
-42.596,0.0096766,-0.0034437,0.00086113,67.951,30.236,31.39
-424.91,1.0473,5.2396,0.45196,40.975,55.52,18.633
-728.94,0.30446,-0.10714,-0.0036968,17.545,13.003,2.9669
-781.71,0.0051567,-0.0031473,-0.00053678,27.701,66.664,12.078
-781.23,0.006578,0.005912,-0.00025431,15.041,66.22,1.1538
-299.94,-0.000055796,0.00003945,0.000017251,116.48,70.983,12.448
-227.42,-0.0020487,0.0001939,0.0022913,28.657,71.468,32.069
117.74,0.14165,-0.02509,0.0016121,115.25,74.021,26.897
-781.49,0.010305,-0.0015963,-0.00095675,21.105,64.957,2.5591
92.756,1.2861,-1.0125,0.019801,92.756,50.031,29.82
-326.27,0.00019984,-0.000054944,0.000090947,54.537,34.948,17.602
-701.86,0.74533,0.18406,0.025476,31.028,22.098,4.8327
-313.69,0.22163,1.1327,1.4754,45.431,67.881,18.015
-663.11,0.4457,1.2801,0.0074387,41.695,32.064,11.18
-280.75,0.000049182,-0.000046315,0.000025787,84.367,16.526,11.964
-300.44,-0.00013654,0.000076152,0.000071847,113.26,70.172,15.086
-765.93,2.767,-0.10458,-0.0403,20.074,45.189,18.996
-283.83,-0.000025195,0.000096652,0.000082947,106.49,24.417,15.127
-326.67,0.000084095,-0.00012021,0.0001981,53.381,32.488,13.62
-781.16,0.0050971,0.00027604,0.000019133,19.122,72.622,1.1288
-723.09,0.40326,-0.022139,-0.010511,21.113,11.193,5.4061
-227.54,1.138,-0.051435,1.5273,60.148,74.286,23.365
-292.91,0.00054172,-0.0006302,0.0010435,89.501,37.778,6.8184
-324.44,0.025997,0.033501,0.00099008,75.477,45.798,19.069
-610.68,-2.4018,4.4176,0.12604,42.744,46.363,7.3574
111.4,0.57067,-0.34537,0.024207,102.38,60.43,23.882
-43.41,0.0055239,-0.0020233,0.000036338,65.573,25.003,21.256
-285.77,-0.000048151,0.000092435,0.00047029,83.34,28.67,14.905
-732.07,0.50267,-0.33776,-0.015762,19.016,20.301,1.1019
-227.58,0.00018463,-0.00005896,0.000083714,35.552,19.579,25.955
-292.92,-0.00024522,0.00065203,0.00014614,102.03,40.567,17.128
-227.44,0.0019743,-0.0010064,0.0016753,16.587,51.097,31.701
-292.26,0.00059955,-0.00054695,0.00018894,92.035,37.052,2.8903
-227.44,0.00020027,-0.000012641,0.0001385,37.339,19.453,27.05
-646.16,0.13715,1.7667,0.01678,44.585,35.708,1.2428
-359.06,1.0002,0.26085,0.17945,59.765,50.576,14.334
-228.53,0.00018815,-0.00014621,0.000031142,21.712,25.677,37.433
-781.92,0.0051695,-0.004555,-0.00026434,27.053,64.331,18.78
-303.26,0.0046267,-0.001068,0.0026912,91.372,47.966,4.3959
-325.85,0.00027424,-0.000068771,0.0002114,53.324,41.824,16.845
-309.18,-0.00088191,0.0017971,0.0079048,88.123,58.792,9.2127
-227.15,0.000074736,0.000022168,0.000012252,42.294,14.128,33.09
236.61,-0.16839,0.25956,0.83433,102.19,17.171,32.036
