"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
-824.27,0.0011589,-0.0015804,0.0022905,87.287,41.063,7.6831
-97.791,0.01027,0.0047188,0.000077826,16.742,64.974,5.5637
-130.03,0.54586,-0.43339,0.030437,17.945,21.94,18.677
254.59,0.00054543,-0.00021553,0.0000018582,49.204,11.275,33.738
234.09,1.1964,-0.87226,0.23443,65.72,61.615,34.402
-824.85,0.00017069,0.00017017,0.000022422,112.19,45.332,1.2607
-97.143,3.2784,0.067914,-0.11559,15.447,42.122,16.528
51.121,0.00016789,-0.000066474,0.000022486,21.603,16.774,33.383
-801.26,0.0010707,0.0016781,0.00099446,72.956,30.994,16.326
203.82,1.5655,0.28261,0.029794,89.118,57.427,29.278
-135.81,0.4329,0.023465,-0.0022257,30.673,12.816,1.1582
-801.01,0.00020397,0.00044164,0.00032173,75.438,23.047,14.346
199.02,1.6649,-0.40971,-0.017515,63.535,52.454,25.872
-825.4,-0.00020034,0.0002073,0.0011613,90.409,72.353,7.9208
-824.57,-0.000024058,-0.000027744,0.00018444,84.647,27.606,15.387
-166.38,0.12998,1.5691,-0.024884,44.726,34.788,5.9142
-825.15,-0.000046252,0.000073408,0.000021742,109.75,72.376,1.3304
-98.037,0.033492,-0.0021366,-0.0028155,18.053,57.85,5.2571
-824.61,0.00010301,0.000023546,0.000033201,103.46,26.051,11.881
51.082,0.00018514,-0.000046979,0.000031835,26.697,14.492,25.392
-96.953,0.24232,-0.084855,0.0041779,17.0,51.024,16.043
-127.2,0.86402,-0.6298,-0.03176,18.011,27.89,7.5171
-800.94,0.000085592,0.00011252,0.00015964,75.553,16.674,12.449
-825.08,0.000012648,0.00021543,0.000071743,110.78,63.196,2.6221
-130.95,0.2241,-0.1997,-0.0093319,15.425,15.229,4.222
-800.9,0.0000091837,-0.000012778,0.000072485,80.595,12.847,4.1318
-824.63,0.00020428,-0.00017453,0.0020699,85.922,39.865,11.1
-824.79,0.000037419,0.0001165,0.000015044,117.37,38.409,4.9911
203.91,0.4765,-0.17206,-0.00092807,104.29,65.561,36.033
-539.0,1.3404,0.66161,0.12071,54.422,54.569,2.6714
-822.41,0.010266,0.010398,0.0017032,86.7,58.514,0.95343
-825.02,-0.00028839,0.00096745,0.0004761,94.804,41.793,17.102
-124.71,0.74138,0.14769,1.6529,54.589,73.188,20.482
-141.14,0.45601,0.4018,0.018151,37.182,22.389,2.9459
203.48,0.66013,-0.000039321,-0.034298,95.88,62.948,26.032
-824.56,0.000077525,-0.000017656,0.000090788,100.15,24.633,7.2317
254.67,0.0056835,0.0020226,0.00004789,71.787,22.451,38.805
209.07,0.99918,-1.5436,0.55977,90.662,30.475,35.353
202.04,1.0765,0.5852,0.0043557,88.505,60.627,30.488
-699.86,0.41326,0.53692,1.1381,64.481,63.848,9.9882
-825.14,-0.000045784,0.00031627,0.0003824,104.64,63.359,7.7606
-824.53,0.000061906,-0.0000083237,0.000018191,105.19,16.501,1.2044
24.11,0.00050648,-0.00097712,0.0013845,17.856,50.432,25.176
-824.48,0.000036565,-0.000020106,0.000013548,91.95,15.91,17.269
-824.6,0.000032108,0.000042482,0.000010461,113.1,20.301,16.959
-98.176,0.031904,-0.02943,-0.00042973,20.438,55.863,1.1273
-768.83,0.34516,0.19382,0.15688,69.816,50.72,12.985
-800.94,0.00024974,0.00017657,0.0004536,71.041,24.389,10.922
-824.47,0.0001004,-0.00013816,0.000091705,87.437,23.399,5.9989
-98.055,3.7841,0.2863,-0.071151,14.279,41.9,15.669
51.115,0.00013849,-0.000024567,0.000015524,21.111,12.875,33.259
-824.52,0.000050088,-0.000025894,0.000024534,98.892,18.238,9.5916
-825.28,-0.000052421,0.00036687,0.0010181,94.589,68.407,7.4492
-468.7,0.27523,0.19106,0.24437,48.529,65.149,2.2906
-824.12,0.002955,-0.00099457,0.00041203,94.264,46.434,1.0178
-95.895,2.6255,-0.17789,-0.087261,18.925,44.499,17.615
203.28,0.48102,-0.17216,0.027398,102.69,65.195,37.333
-824.55,0.000052128,-0.000032618,0.000022051,100.79,21.75,9.2427
307.99,0.42881,-0.54764,0.15529,77.925,71.433,36.934
202.37,0.41873,0.50275,-0.0064246,86.922,65.892,21.185
50.912,0.00012544,0.00040614,0.00013582,43.125,21.735,35.062
50.802,0.00043011,0.0015288,0.000095546,43.025,28.901,38.818
-131.09,0.51652,-0.27543,-0.0000038897,19.928,19.693,7.5164
-824.9,-0.0000014897,0.00083112,0.0019903,89.47,41.657,13.532
-824.84,-0.000037581,0.00035104,0.000032397,102.8,39.064,18.747
-211.71,0.51667,0.61389,1.3679,49.55,70.99,17.006
51.148,0.00011988,-0.00013573,0.000031461,20.186,19.858,25.84
-140.31,0.54423,0.37735,-0.0016925,36.297,23.023,5.6925
-93.478,2.5627,0.55349,-0.012921,28.714,41.875,13.256
221.16,2.0631,-0.3119,-0.045666,67.459,50.89,35.41
45.264,0.34894,-0.19728,-0.010979,41.789,51.168,20.982
-824.53,0.000071078,-0.000010662,-0.0000063156,106.71,16.536,4.3981
-824.23,0.0034385,0.0045704,0.010693,87.858,57.027,7.3629
51.276,0.00041408,-0.00063271,0.00063642,26.764,38.454,34.21
-822.07,0.015737,0.01567,0.029226,84.401,54.39,7.3927
-97.638,0.0061767,0.012204,-0.00032013,12.901,64.209,12.934
200.52,0.12944,-0.13878,0.25487,96.298,15.36,24.738
-800.48,-0.0013247,-0.00039428,0.0029876,63.325,44.887,8.4223
-2.2451,0.58976,-0.35683,0.70087,43.363,67.254,32.927
201.78,0.50106,0.52701,0.039242,86.844,64.831,22.617
254.59,0.026384,0.0073089,0.0018163,74.75,34.153,22.844
