"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
-178.29,0.0011258,-0.0015334,0.0021846,87.287,41.063,7.6831
-60.346,0.010247,0.0047364,0.000091026,16.742,64.974,5.5637
-67.251,0.54565,-0.43307,0.030268,17.945,21.94,18.677
210.14,0.00054626,-0.0002152,0.0000019206,49.204,11.275,33.738
216.48,1.2044,-0.86894,0.23258,65.72,61.615,34.402
-178.52,0.00016427,0.00015673,0.000022013,112.19,45.332,1.2607
-62.095,3.2754,0.069257,-0.11412,15.447,42.122,16.528
134.47,0.00016154,-0.00006369,0.000021539,21.603,16.774,33.383
-169.41,0.0010341,0.0016212,0.00096104,72.956,30.994,16.326
183.67,1.5646,0.28122,0.030151,89.118,57.427,29.278
-60.155,0.43272,0.023489,-0.0023395,30.673,12.816,1.1582
-169.33,0.0001972,0.00042687,0.00031007,75.438,23.047,14.346
198.01,1.6718,-0.40769,-0.017225,63.535,52.454,25.872
-178.9,-0.00018867,0.00020169,0.0011082,90.409,72.353,7.9208
-178.41,-0.000030766,-0.000045727,0.00018517,84.647,27.606,15.387
-40.13,0.12984,1.5664,-0.025657,44.726,34.788,5.9142
-178.71,-0.000043539,0.000070586,0.000021061,109.75,72.376,1.3304
-60.373,0.033493,-0.0020842,-0.0027969,18.053,57.85,5.2571
-178.45,0.000097058,0.000016411,0.000032455,103.46,26.051,11.881
134.55,0.00017514,-0.000046273,0.000031367,26.697,14.492,25.392
-61.354,0.24205,-0.084915,0.0039911,17.0,51.024,16.043
-67.539,0.8632,-0.62873,-0.032045,18.011,27.89,7.5171
-169.3,0.000082587,0.00010737,0.00015292,75.553,16.674,12.449
-178.67,0.000011619,0.00020428,0.000068993,110.78,63.196,2.6221
-64.783,0.22397,-0.20001,-0.0092808,15.425,15.229,4.222
-169.29,0.0000086004,-0.000012091,0.000069984,80.595,12.847,4.1318
-178.43,0.00018946,-0.00018008,0.0019684,85.922,39.865,11.1
-178.5,0.000034794,0.00010207,0.000013272,117.37,38.409,4.9911
189.71,0.47715,-0.1719,-0.00063656,104.29,65.561,36.033
-78.399,1.3271,0.66264,0.12112,54.422,54.569,2.6714
-177.72,0.0097512,0.0099147,0.0016261,86.7,58.514,0.95343
-178.61,-0.00025871,0.00091603,0.00045189,94.804,41.793,17.102
86.824,0.74848,0.15022,1.6756,54.589,73.188,20.482
-56.161,0.45549,0.40085,0.018281,37.182,22.389,2.9459
187.06,0.65958,0.0001201,-0.034407,95.88,62.948,26.032
-178.43,0.000068071,-0.000022851,0.000089134,100.15,24.633,7.2317
210.17,0.005693,0.002035,0.000050141,71.787,22.451,38.805
208.04,1.0031,-1.5442,0.56305,90.662,30.475,35.353
181.73,1.0776,0.58636,0.0050471,88.505,60.627,30.488
-129.73,0.3794,0.53814,1.1374,64.481,63.848,9.9882
-178.72,-0.000040442,0.00030134,0.00036243,104.64,63.359,7.7606
-178.48,0.000057846,-0.000014079,0.000019631,105.19,16.501,1.2044
131.05,0.00051278,-0.00098461,0.0013971,17.856,50.432,25.176
-178.43,0.000035903,-0.000026598,0.000013646,91.95,15.91,17.269
-178.5,0.000030488,0.00003667,0.000012329,113.1,20.301,16.959
-60.277,0.031922,-0.029378,-0.00040528,20.438,55.863,1.1273
-157.07,0.3345,0.18951,0.15331,69.816,50.72,12.985
-169.29,0.00023984,0.00017018,0.00043399,71.041,24.389,10.922
-178.38,0.000099531,-0.00013951,0.000086126,87.437,23.399,5.9989
-62.565,3.782,0.28689,-0.071533,14.279,41.9,15.669
134.48,0.00013269,-0.000024022,0.000014495,21.111,12.875,33.259
-178.43,0.000044832,-0.000034615,0.000023772,98.892,18.238,9.5916
-178.83,-0.00004168,0.00034707,0.00096534,94.589,68.407,7.4492
-47.211,0.27033,0.19128,0.24926,48.529,65.149,2.2906
-178.25,0.0028172,-0.00096187,0.00038721,94.264,46.434,1.0178
-70.01,2.6303,-0.1744,-0.086934,18.925,44.499,17.615
188.75,0.48128,-0.1725,0.027756,102.69,65.195,37.333
-178.43,0.000048681,-0.000045569,0.000020817,100.79,21.75,9.2427
241.48,0.43048,-0.5465,0.15277,77.925,71.433,36.934
182.58,0.41889,0.50295,-0.0063102,86.922,65.892,21.185
134.84,0.00012162,0.00039295,0.00013575,43.125,21.735,35.062
135.02,0.00041474,0.0015038,0.00010149,43.025,28.901,38.818
-64.395,0.51652,-0.27549,-0.0000083185,19.928,19.693,7.5164
-178.56,0.0000078315,0.00078464,0.0018955,89.47,41.657,13.532
-178.53,-0.000033151,0.00032737,0.000027499,102.8,39.064,18.747
54.955,0.51502,0.62045,1.3856,49.55,70.99,17.006
134.42,0.00011245,-0.00013031,0.000031021,20.186,19.858,25.84
-56.533,0.54356,0.37711,-0.00094444,36.297,23.023,5.6925
-83.03,2.5647,0.56051,-0.0053514,28.714,41.875,13.256
206.01,2.0704,-0.30989,-0.046317,67.459,50.89,35.41
139.95,0.35177,-0.1991,-0.010826,41.789,51.168,20.982
-178.49,0.000069907,-0.000018661,-0.0000097156,106.71,16.536,4.3981
-178.45,0.003286,0.004417,0.010181,87.858,57.027,7.3629
134.11,0.00038713,-0.00061636,0.00060583,26.764,38.454,34.21
-177.62,0.014986,0.01523,0.028064,84.401,54.39,7.3927
-60.35,0.0061638,0.01221,-0.00029886,12.901,64.209,12.934
198.91,0.12919,-0.13875,0.25489,96.298,15.36,24.738
