"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
-36.255,0.0011153,-0.0015248,0.0021382,87.287,41.063,7.6831
152.3,0.010217,0.0047382,0.000085712,16.742,64.974,5.5637
144.78,0.54589,-0.43362,0.030015,17.945,21.94,18.677
209.5,0.00054698,-0.00021465,0.0000019961,49.204,11.275,33.738
198.15,1.2058,-0.86679,0.2323,65.72,61.615,34.402
-36.386,0.00014314,0.00015117,0.000020694,112.19,45.332,1.2607
149.91,3.2719,0.069873,-0.11279,15.447,42.122,16.528
139.55,0.00017454,-0.000069636,0.000022162,21.603,16.774,33.383
-31.525,0.0010182,0.0016005,0.00094736,72.956,30.994,16.326
179.75,1.5647,0.27986,0.030922,89.118,57.427,29.278
151.33,0.43345,0.023578,-0.0025717,30.673,12.816,1.1582
-31.481,0.00019451,0.00042273,0.0003052,75.438,23.047,14.346
188.27,1.6735,-0.40645,-0.016531,63.535,52.454,25.872
-36.864,-0.00017962,0.00020085,0.001084,90.409,72.353,7.9208
-35.93,-0.000041652,-0.000052182,0.00017487,84.647,27.606,15.387
160.03,0.13044,1.5692,-0.026412,44.726,34.788,5.9142
-36.67,-0.000040997,0.000068602,0.000020974,109.75,72.376,1.3304
152.21,0.033477,-0.0021031,-0.0028326,18.053,57.85,5.2571
-35.897,0.000096095,0.000015305,0.00002902,103.46,26.051,11.881
139.56,0.00019189,-0.000048285,0.000031772,26.697,14.492,25.392
151.57,0.24169,-0.084488,0.003574,17.0,51.024,16.043
144.62,0.86296,-0.6285,-0.032676,18.011,27.89,7.5171
-31.461,0.000081052,0.00010518,0.00014967,75.553,16.674,12.449
-36.626,0.000011961,0.00019746,0.000067912,110.78,63.196,2.6221
147.14,0.22413,-0.20063,-0.0092705,15.425,15.229,4.222
-31.443,0.0000080536,-0.000011592,0.00006905,80.595,12.847,4.1318
-36.322,0.0001748,-0.00018668,0.0019244,85.922,39.865,11.1
-36.223,0.000035154,0.00009108,0.000011979,117.37,38.409,4.9911
184.65,0.47812,-0.17184,-0.00029224,104.29,65.561,36.033
12.909,1.3228,0.66378,0.12146,54.422,54.569,2.6714
-36.178,0.0095425,0.0097158,0.0016023,86.7,58.514,0.95343
-36.458,-0.00024325,0.00089067,0.00043714,94.804,41.793,17.102
96.827,0.75162,0.15147,1.6816,54.589,73.188,20.482
154.2,0.4561,0.40078,0.018331,37.182,22.389,2.9459
182.44,0.65934,0.00027835,-0.034475,95.88,62.948,26.032
-35.854,0.000060038,-0.000016573,0.000093351,100.15,24.633,7.2317
209.57,0.005698,0.0020433,0.00005318,71.787,22.451,38.805
203.15,1.0073,-1.5452,0.56692,90.662,30.475,35.353
177.37,1.0796,0.58801,0.0059474,88.505,60.627,30.488
-12.506,0.36661,0.53971,1.1385,64.481,63.848,9.9882
-36.672,-0.000035811,0.00029306,0.00035166,104.64,63.359,7.7606
-35.647,0.000054379,-0.000012336,0.000023467,105.19,16.501,1.2044
134.17,0.00051251,-0.00098418,0.0014002,17.856,50.432,25.176
-35.638,0.000032854,-0.000029433,0.000014829,91.95,15.91,17.269
-35.763,0.000028097,0.000040596,0.0000095012,113.1,20.301,16.959
152.29,0.031875,-0.029435,-0.00038398,20.438,55.863,1.1273
-25.187,0.3307,0.18803,0.15211,69.816,50.72,12.985
-31.455,0.00023546,0.00016915,0.00042521,71.041,24.389,10.922
-35.789,0.000095252,-0.00012431,0.000088088,87.437,23.399,5.9989
147.42,3.7804,0.28703,-0.072125,14.279,41.9,15.669
139.56,0.00014446,-0.00002657,0.000014949,21.111,12.875,33.259
-35.711,0.00003804,-0.000032776,0.000023214,98.892,18.238,9.5916
